Country,Year,GDP,CO2_emission
China,1993,2364.808,2541.080384708
India,1993,1784.538,604.997766092
Japan,1993,4274.14,1133.122611693
Russia,1993,2262.011,2206.984323324
United States,1993,10424.87,5093.879398
China,1994,2672.97,2730.930852358
India,1994,1895.428,630.635556191
Japan,1994,4315.77,1129.993734365
Russia,1994,1972.452,2028.935993717
United States,1994,10844.82,5185.520158
China,1995,2966.261,2916.39147434
India,1995,2036.366,670.382645382
Japan,1995,4428.85,1185.701486382
Russia,1995,1873.784,1840.4068117
United States,1995,11135.92,5262.663333
China,1996,3260.692,3140.322857361
India,1996,2188.784,720.744285528
Japan,1996,4568.53,1196.729377534
Russia,1996,1806.68,1768.539364985
United States,1996,11556.02,5324.311399
China,1997,3562.269,3240.418927252
India,1997,2292.613,755.557650006
Japan,1997,4614.78,1216.012189945
Russia,1997,1831.535,1630.789539111
United States,1997,12069.94,5518.030044
China,1998,3842.142,3143.568283036
India,1998,2427.431,792.175115825
Japan,1998,4553.94,1220.311603357
Russia,1998,1734.117,1533.455661051
United States,1998,12610.85,5589.322021
China,1999,4137.363,3132.091526409
India,1999,2627.076,810.223561783
Japan,1999,4542.75,1185.953843791
Russia,1999,1844.192,1518.144419773
United States,1999,13215.49,5636.733477
China,2000,4487.852,3248.272869507
India,2000,2779.897,851.769493733
Japan,2000,4666.29,1225.236408745
Russia,2000,2029.615,1516.718673417
United States,2000,13754.31,5700.252865
China,2001,4861.35,3482.708683778
India,2001,2876.447,885.967736544
Japan,2001,4684.88,1232.962057226
Russia,2001,2132.752,1540.33430484
United States,2001,13885.56,5888.592478
China,2002,5304.42,3615.319298673
India,2002,3008.865,907.709669776
Japan,2002,4685.12,1225.821486122
Russia,2002,2233.976,1535.638066077
United States,2002,14121.05,5777.788286
China,2003,5836.3,3857.315271143
India,2003,3202.748,953.846659257
Japan,2003,4758.91,1232.071399986
Russia,2003,2398.302,1542.950629827
United States,2003,14515.9,5820.025298
China,2004,6426.52,4469.340962115
India,2004,3452.769,971.463072469
Japan,2004,4861.39,1271.489373888
Russia,2004,2569.673,1578.930945402
United States,2004,15075.12,5886.416623
China,2005,7158.48,5397.860863322
India,2005,3726.928,1069.898627246
Japan,2005,4950.11,1264.472802739
Russia,2005,2734.04,1583.795963199
United States,2005,15600.22,5993.719256
China,2006,8068.15,6120.077564126
India,2006,4031.061,1118.583113079
Japan,2006,5016.69,1279.059074834
Russia,2006,2957.283,1570.506804534
United States,2006,16034.36,6006.994255
China,2007,9217.34,6750.666894778
India,2007,4352.62,1208.587716349
Japan,2007,5090.8,1265.972009315
Russia,2007,3210.138,1644.689839998
United States,2007,16356.75,5929.329204
China,2008,10101.81,7057.568452367
India,2008,4575.84,1313.504723231
Japan,2008,5027.35,1276.600388221
Russia,2008,3378.578,1616.219690094
United States,2008,16376.74,6015.537927
China,2009,11055.13,7505.110562847
India,2009,4786.62,1405.331569847
Japan,2009,4741.98,1236.323319574
Russia,2009,3114.341,1689.705178732
United States,2009,15950.96,5823.12664
China,2010,12228.77,8204.136739711
India,2010,5222.79,1546.549130524
Japan,2010,4936.47,1144.877996757
Russia,2010,3254.87,1505.588572589
United States,2010,16383.04,5403.664819
China,2011,13396.89,9003.659583588
India,2011,5583.16,1647.607765382
Japan,2011,4938.21,1197.157441095
Russia,2011,3370.568,1661.036739444
United States,2011,16636.94,5593.662183
China,2012,14448.43,9892.523226965
India,2012,5867.04,1701.423608672
Japan,2012,5005.87,1226.315034857
Russia,2012,3506.202,1733.554377433
United States,2012,17016.41,5454.696471
China,2013,15571.28,10478.960468891
India,2013,6227.73,1819.893804503
Japan,2013,5108.11,1301.128180416
Russia,2013,3567.75,1741.540316807
United States,2013,17329.82,5236.322549
China,2014,16722.21,10732.002366681
India,2014,6663.9,1859.534344401
Japan,2014,5119.15,1296.959118977
Russia,2014,3594.018,1692.56822549
United States,2014,17726.25,5358.870231
China,2015,17895.85,10654.275247466
India,2015,7163.88,2021.857136186
Japan,2015,5200.87,1259.839760477
Russia,2015,3523.119,1686.124243111
United States,2015,18206.03,5413.878798
China,2016,19121.77,10427.086484114
India,2016,7807.69,2063.498246454
Japan,2016,5238.49,1215.165346308
Russia,2016,3529.942,1690.150381741
United States,2016,18509.63,5262.075715
China,2017,20444.71,10261.596587956
India,2017,8281.53,2109.077444405
Japan,2017,5327.88,1204.478315299
Russia,2017,3594.388,1675.853850278
United States,2017,18927.11,5169.496984
China,2018,21822.11,10414.766207728
India,2018,8884.45,2199.569241996
Japan,2018,5357.39,1172.18919656
Russia,2018,3695.298,1733.861881236
United States,2018,19479.58,5131.08098
China,2019,23128.34,10608.600386434
India,2019,9310.29,2308.332020002
Japan,2019,5359.05,1140.949687525
Russia,2019,3770.42,1798.242238512
United States,2019,19925.43,5277.192754
